Age,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,BMI,Drafted,Pos_C,Pos_CB,Pos_DB,Pos_DE,Pos_DT,Pos_FB,Pos_FS,Pos_ILB,Pos_K,Pos_LS,Pos_OG,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_SS,Pos_TE,Pos_WR,PosType_backs_receivers,PosType_defensive_back,PosType_defensive_lineman,PosType_kicking_specialist,PosType_line_backer,PosType_offensive_lineman,PosType_other_special
22.0,1.778,82.55381134,4.4,92.71,8.0,325.12,26.11401296,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22.0,1.778,99.33672903,4.67,86.36,20.0,289.56,31.4229057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22.0,1.8796,140.1600423,5.4,68.58,22.0,256.54,39.67284516,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.0,1.8288,90.26488163,4.35,80.01,14.0,297.18,26.98897499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
21.0,1.9558,151.0462592,5.22,68.58,39.0,256.54,39.48763198,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.0,1.8542,102.965468,4.75,86.36,32.0,298.45000000000005,29.94873233,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.0,1.9558,140.1600423,5.09,60.96,33.0,243.84,36.64167652,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.0,1.905,141.5208194,4.92,77.47,29.0,271.78,38.99692602,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22.0,1.8288,99.7903214,4.57,88.9,19.0,281.94,29.83705778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22.0,1.8796,110.6765383,4.72,83.82,22.0,292.1,31.32742466,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
